Clave,SISTEMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Estado de Situación Financiera (millones de pesos corrientes),ene-19,feb-19,mar-19,abr-19,may-19,jun-19,jul-19,ago-19,sep-19,oct-19,nov-19,dic-19,ene-20,feb-20,mar-20,abr-20,may-20,jun-20,jul-20,ago-20,sep-20,oct-20,nov-20,dic-20,ene-21,feb-21,mar-21,abr-21,may-21,jun-21,jul-21,ago-21,sep-21,oct-21,nov-21,dic-21,ene-22,feb-22,mar-22,abr-22,may-22,jun-22,jul-22,ago-22,sep-22,oct-22,nov-22,dic-22,ene-23,feb-23,mar-23,abr-23,may-23,jun-23,jul-23,ago-23,sep-23
23,Operaciones Quirografarias,"567,798","583,822","592,220","604,734","599,717","599,138","591,525","604,269","582,940","563,450","565,818","537,487","543,076","554,183","666,625","697,495","669,326","647,314","622,668","594,863","553,625","533,083","507,542","481,109","486,622","484,073","473,098","483,875","459,814","448,534","452,927","451,202","454,613","456,043","468,152","475,859","507,409","502,354","523,871","534,207","558,494","567,888","568,697","582,869","586,314","590,978","595,777","546,111","560,278","562,693","585,061","592,484","584,620","567,527","598,804","602,939","603,472"
24,Operaciones Prendarias,"219,621","228,252","233,251","234,101","236,979","238,209","233,662","237,719","234,743","230,407","233,446","234,842","233,942","234,424","249,476","253,871","251,609","253,261","252,649","251,341","247,216","241,043","236,719","234,812","232,855","232,549","229,517","232,128","230,083","229,121","229,934","226,097","227,317","232,903","228,076","227,991","219,864","225,045","223,381","226,887","227,308","226,939","239,480","235,762","233,866","232,853","241,253","252,990","248,955","249,000","253,521","257,911","258,463","257,159","262,360","266,383","268,777"
25,Créditos Puente,"69,997","70,367","71,237","71,985","72,034","72,686","72,445","71,485","72,769","72,559","73,963","73,925","75,626","78,313","80,817","82,046","81,793","81,028","80,786","80,726","80,363","80,243","79,021","77,837","78,170","77,502","77,595","77,331","77,581","78,447","78,795","79,132","79,621","80,029","80,253","80,287","77,294","78,056","77,741","78,280","79,323","80,955","82,176","82,167","83,312","85,406","86,647","88,344","88,365","89,639","91,768","93,245","94,911","94,376","96,931","97,103","99,404"
26,"Operaciones de Factoraje Financiero, Descuento o Cesión de Derechos de Crédito","84,181","85,402","87,825","83,906","87,222","93,190","89,883","91,994","95,523","90,850","88,994","96,837","91,031","90,350","99,575","93,483","88,967","89,738","87,215","84,685","86,759","85,994","86,417","90,373","86,115","86,275","88,289","90,372","93,854","102,162","103,377","101,031","102,808","102,348","106,093","118,705","113,196","113,346","117,572","117,146","116,872","125,678","126,755","124,250","124,120","121,612","125,297","132,899","122,428","121,455","126,396","119,352","118,937","125,592","122,005","123,048","127,538"
27,Operaciones de Arrendamiento Financiero,"5,709","5,862","5,906","5,862","5,947","6,513","6,489","6,546","6,415","6,339","6,406","6,421","6,287","6,543","8,572","8,766","8,320","8,156","7,718","7,421","7,345","7,188","7,764","7,365","7,197","7,064","6,810","6,468","6,263","5,885","5,750","5,685","5,653","5,581","5,738","6,956","6,721","6,828","6,741","6,682","6,598","6,834","6,825","6,678","6,624","6,495","6,374","6,589","10,872","10,712","10,749","10,643","10,438","10,194","8,038","10,761","11,325"
28,Operaciones con Garantía Hipotecaria,"242,441","248,332","252,214","251,742","258,076","261,329","263,210","270,205","266,181","264,802","266,364","262,272","261,845","266,493","291,415","293,075","284,708","288,924","285,396","284,503","285,716","281,999","275,413","276,692","277,566","278,747","277,619","270,420","269,969","268,437","268,770","268,419","272,378","273,828","280,304","276,374","268,277","267,047","264,931","270,189","269,816","274,109","280,689","279,870","283,166","286,252","283,476","286,637","283,538","280,960","282,320","284,082","280,003","279,530","272,730","275,250","282,362"
29,Créditos para Proyectos de Inversión con Fuente de Pago Propia,"242,720","242,941","245,157","250,629","255,382","256,007","252,432","256,445","258,998","258,220","259,657","255,470","258,791","262,367","271,421","295,061","291,251","292,861","289,787","287,253","288,762","286,927","276,446","273,368","280,393","281,761","279,494","275,671","275,107","278,487","281,978","283,911","282,704","280,899","285,384","284,263","281,699","287,333","290,362","294,352","292,640","294,915","297,173","284,281","280,683","284,912","277,973","280,083","279,851","278,556","278,045","277,235","283,804","279,923","282,772","284,990","287,530"
30,Otros,"1,007,610","1,009,598","1,030,983","1,035,467","1,054,989","1,057,900","1,058,107","1,081,495","1,059,383","1,056,086","1,073,223","1,063,504","1,067,177","1,082,332","1,188,487","1,214,928","1,181,920","1,155,595","1,131,895","1,122,062","1,104,168","1,069,850","1,045,953","1,014,515","1,012,730","1,023,361","1,015,317","1,009,688","1,010,846","1,011,942","1,021,100","1,019,092","1,012,807","1,032,135","1,046,224","1,046,977","971,477","965,544","995,260","1,017,336","1,043,005","1,046,896","1,067,461","1,070,499","1,100,056","1,113,056","1,119,395","1,159,046","1,156,136","1,153,631","1,150,297","1,167,422","1,172,359","1,168,886","1,181,794","1,180,573","1,208,483"
31,Entidades Financieras,"429,873","422,128","428,580","428,753","423,681","418,999","420,809","422,834","420,288","414,119","436,227","443,506","429,836","430,574","448,120","445,562","428,250","422,241","407,917","392,888","386,353","327,704","325,864","321,144","315,288","314,527","311,570","303,397","311,712","312,848","310,628","305,808","321,514","317,675","333,352","339,009","333,094","332,460","326,251","334,332","335,918","345,903","333,167","356,470","356,325","391,177","396,914","405,501","328,196","334,420","356,254","364,595","359,210","371,899","375,476","381,279","389,744"
32,Créditos Interbancarios,"18,202","21,133","23,905","27,092","18,448","17,615","14,937","16,554","14,214","10,718","7,463","9,689","11,368","12,250","14,627","22,041","21,888","21,289","20,573","14,459","10,834","11,130","1,271","1,044","6,713","1,448","6,773","6,391","8,543","6,771","7,055","5,702","17,557","14,985","15,957","14,621","14,403","14,279","10,948","12,860","11,903","8,669","5,809","7,556","7,904","20,933","5,771","8,355","13,365","13,278","26,831","27,307","24,815","25,912","28,898","27,360","34,367"
33,Créditos a Entidades Financieras no Bancarias,"411,671","400,995","404,675","401,661","405,232","401,384","405,872","406,280","406,073","403,401","428,764","433,816","418,468","418,324","433,492","423,521","406,362","400,952","387,344","378,429","375,519","316,574","324,593","320,100","308,575","313,078","304,797","297,006","303,169","306,078","303,573","300,106","303,957","302,689","317,396","324,388","318,690","318,181","315,303","321,472","324,015","337,234","327,358","348,914","348,421","370,243","391,143","397,146","314,831","321,142","329,423","337,288","334,395","345,987","346,577","353,919","355,377"
34,Otros, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
35,Entidades Gubernamentales,"550,759","539,498","519,825","523,406","521,195","525,960","517,673","525,989","484,431","491,544","507,811","556,953","555,108","545,306","563,213","560,270","545,525","540,109","540,788","538,554","560,138","556,244","536,586","548,028","594,231","591,438","613,041","608,050","599,091","581,771","582,937","579,166","572,428","586,688","594,487","599,897","625,908","634,865","620,390","626,980","617,016","615,936","604,382","582,333","589,317","617,359","616,349","633,217","645,792","654,328","635,219","628,997","612,610","601,060","625,691","623,811","624,765"
36,Créditos al Gobierno Federal,"32,811","30,877","30,640","30,312","30,057","30,071","29,798","29,604","29,428","29,311","29,141","34,832","34,584","34,338","34,132","33,946","33,769","33,581","33,398","33,174","43,948","47,954","52,530","57,395","57,142","56,970","56,599","56,353","56,060","55,710","57,905","57,450","57,179","57,171","56,696","56,947","56,896","56,667","56,264","56,200","54,261","53,962","53,966","53,659","53,337","53,020","52,700","59,946","59,211","58,771","58,413","58,345","57,179","56,848","77,191","84,854","85,073"
37,Créditos a Estados y Municipios,"301,629","296,981","298,284","291,848","291,329","293,020","288,220","291,850","277,075","279,158","288,055","296,608","293,410","292,343","289,487","287,192","288,822","286,213","281,883","281,781","283,701","289,111","293,305","312,478","310,521","309,156","299,176","295,205","292,566","293,397","290,931","289,354","290,958","294,568","306,374","324,869","326,888","321,201","312,921","313,760","306,688","300,926","302,571","299,010","292,192","293,796","303,615","318,535","319,766","317,733","313,833","314,807","309,818","305,650","305,671","305,445","306,080"
